,bus_count,last_update,msg_count,segment_id,traffic
0,2,2013-01-16T23:50:32,7,116,18
1,2,2013-02-24T23:50:32,11,54,23
2,0,2013-02-17T23:50:32,0,597,-1
3,1,2013-02-23T23:50:32,4,363,25
4,0,2014-12-01T23:50:32,0,203,-1
5,0,2014-12-24T23:50:32,0,926,-1
6,0,2014-12-05T23:50:32,0,1204,-1
7,0,2014-12-11T23:50:32,0,634,-1
8,1,2014-12-24T23:50:32,8,55,18
9,0,2014-12-01T23:50:32,0,1183,-1
10,0,2014-12-13T23:50:32,0,1276,-1
11,1,2013-02-23T23:50:32,5,179,29
12,2,2013-01-26T23:50:32,9,234,15
13,0,2014-11-29T23:50:32,0,1272,-1
14,1,2013-01-23T23:50:32,6,519,31
15,0,2013-02-13T23:50:32,0,1308,-1
16,0,2013-01-18T23:50:32,0,506,-1
17,0,2013-02-06T23:50:32,0,1001,-1
18,1,2014-12-29T23:50:32,2,513,24
19,1,2014-12-19T23:50:32,7,718,19
20,1,2014-12-18T23:50:32,1,823,29
21,1,2013-01-16T23:50:32,6,471,26
22,0,2013-02-12T23:50:32,0,141,-1
23,1,2014-12-07T23:50:32,10,199,23
24,1,2013-01-22T23:50:32,11,257,16
25,0,2013-01-22T23:50:32,0,874,-1
26,0,2014-12-20T23:50:32,0,1260,-1
27,0,2013-02-07T23:50:32,0,9,-1
28,0,2014-12-05T23:50:32,0,460,-1
29,0,2014-12-19T23:50:32,0,565,-1
30,0,2013-02-26T23:50:32,0,66,-1
31,1,2014-12-15T23:50:32,1,456,32
32,0,2014-12-11T23:50:32,0,883,-1
33,1,2013-02-14T23:50:32,4,31,27
34,1,2013-01-24T23:50:32,1,770,24
35,2,2014-11-29T23:50:32,12,688,17
36,0,2013-01-29T23:50:32,0,65,-1
37,0,2014-11-26T23:50:32,0,652,-1
38,1,2013-01-30T23:50:32,8,765,23
39,0,2014-12-17T23:50:32,0,1116,-1
40,0,2014-12-02T23:50:32,0,541,-1
41,0,2013-02-11T23:50:32,0,615,-1
42,1,2014-12-11T23:50:32,9,695,23
43,1,2014-11-28T23:50:32,2,575,24
44,0,2014-12-05T23:50:32,0,64,-1
45,0,2013-02-26T23:50:32,0,997,-1
46,1,2013-02-16T23:50:32,4,536,16
47,1,2013-01-19T23:50:32,9,626,23
48,1,2013-02-28T23:50:32,7,1202,24
49,3,2014-12-10T23:50:32,20,27,27
50,1,2013-02-17T23:50:32,13,263,26
51,0,2014-12-09T23:50:32,0,618,-1
52,1,2013-01-20T23:50:32,1,586,34
53,3,2014-12-09T23:50:32,14,1245,21
54,0,2014-12-11T23:50:32,0,8,-1
55,2,2013-02-07T23:50:32,14,446,16
56,0,2014-12-04T23:50:32,0,1124,-1
57,1,2014-12-02T23:50:32,4,150,30
58,2,2013-01-25T23:50:32,8,465,19
59,2,2014-12-10T23:50:32,6,498,14
60,0,2014-12-27T23:50:32,0,880,-1
61,0,2013-02-23T23:50:32,0,131,-1
62,2,2013-01-25T23:50:32,10,780,18
63,1,2014-12-02T23:50:32,3,553,23
64,0,2013-02-17T23:50:32,0,757,-1
65,0,2014-12-27T23:50:32,0,508,-1
66,0,2013-02-26T23:50:32,0,1117,-1
67,1,2014-12-15T23:50:32,3,1034,11
68,1,2013-02-04T23:50:32,3,651,25
69,0,2013-02-23T23:50:32,0,1305,-1
70,2,2013-01-28T23:50:32,8,1133,18
71,0,2013-02-21T23:50:32,0,281,-1
72,11,2014-12-17T23:50:32,104,925,13
73,1,2013-02-03T23:50:32,7,198,22
74,2,2013-01-25T23:50:32,12,290,19
75,1,2013-02-08T23:50:32,2,424,25
76,0,2013-02-21T23:50:32,0,656,-1
77,1,2014-12-28T23:50:32,5,650,20
78,0,2013-01-25T23:50:32,0,1217,-1
79,1,2013-02-15T23:50:32,5,202,32
